Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
1	270.5	264.5	 	288.7381	298.11905	 
2	272.71054	264.1316	*	290.6905	298.35715	*
3	275.1316	264.28946	*	292.5	298.5	*
4	277.4	264.45	*	294.45	298.6	*
5	279.5909	264.4091	*	296.28946	299.1316	*
6	281.8684	264.28946	*	298.0	299.3	*
7	284.3421	264.3421	*	299.71054	299.5	*
8	286.5	264.5	*	301.6	299.55	*
9	288.88095	264.5	*	303.28946	300.1316	*
10	291.11905	264.5	*	305.3095	300.35715	*
11	293.5	264.5	*	306.95	300.6	*
12	295.6	264.55	*	308.75	300.75	*
13	298.1316	264.71054	*	310.6579	301.3421	*
14	300.25	264.75	*	312.5	301.5	*
15	302.72223	265.0	*	314.2	301.6	*
16	305.0	265.27777	*	315.83334	301.8889	*
17	307.25	265.25	*	317.75	302.25	*
18	309.5	265.5	*	319.5	302.5	*
19	311.71054	265.5	*	321.25	302.75	*
20	314.1316	265.71054	*	322.8684	303.28946	*
21	316.25	265.75	*	324.6905	303.35715	*
22	318.72223	266.0	*	326.5	303.5	*
23	320.8684	266.28946	*	328.28946	304.1316	*
24	323.28946	266.5	*	329.8684	304.28946	*
25	325.5	266.5	*	331.6579	304.6579	*
26	327.75	266.75	*	333.3	305.0	*
27	330.1316	267.28946	*	335.1316	305.28946	*
28	332.3421	267.3421	*	336.71054	305.5	*
29	334.5	267.5	*	338.72223	306.0	*
30	336.71054	267.8684	*	340.44736	306.3421	*
31	339.02942	268.14706	*	342.0	306.5	*
32	341.4	268.45	*	343.71054	306.8684	*
33	343.5	268.5	*	345.4	307.45	*
34	345.7	269.0	*	347.2	307.6	*
35	347.8684	269.28946	*	348.75	307.75	*
36	350.2	269.6	*	350.55	308.4	*
37	352.28946	269.8684	*	352.28946	308.5	*
38	354.5	270.5	*	353.75	308.75	*
39	356.71054	270.5	*	355.55	309.4	*
40	359.0263	270.8684	*	357.2	309.6	*
41	361.4	271.45	*	358.75	309.75	*
42	363.5	271.5	*	360.5	310.28946	*
43	365.75	272.25	*	362.2	310.6	*
44	367.8	272.4	*	363.75	310.75	*
45	370.0263	272.8684	*	365.5	311.5	*
46	372.28946	273.5	*	367.11905	311.5	*
47	374.3421	273.6579	*	368.71054	311.8684	*
48	376.55	274.4	*	370.4	312.45	*
49	378.71054	274.5	*	371.85	312.5	*
50	380.7	275.0	*	373.72223	313.0	*
51	383.0	275.5	*	375.28946	313.5	*
52	385.2619	275.88095	*	376.71054	313.5	*
53	387.3421	276.3421	*	378.27777	314.0	*
54	389.28946	276.8684	*	380.0	314.3	*
55	391.5	277.5	*	381.5	314.5	*
56	393.71054	277.8684	*	383.25	315.25	*
57	395.8	278.4	*	384.77274	315.54544	*
58	397.75	278.75	*	386.25	315.75	*
59	400.0	279.5	*	387.8684	316.28946	*
60	402.0	280.0	*	389.5	316.5	*
61	404.2	280.6	*	391.1316	316.71054	*
62	406.27777	281.0	*	392.75	317.25	*
63	408.2	281.6	*	394.2	317.6	*
64	410.28946	282.1316	*	395.71054	317.8684	*
65	412.5	282.5	*	397.3095	318.35715	*
66	414.4	283.45	*	398.71054	318.5	*
67	416.45	283.6	*	400.27777	319.0	*
68	418.5	284.5	*	401.8684	319.28946	*
69	420.39474	284.92105	*	403.5	319.5	*
70	422.5	285.5	*	404.85	320.15	*
71	424.5	286.28946	*	406.5	320.5	*
72	426.45	286.6	*	407.8684	320.71054	*
73	428.5	287.5	*	409.5	321.28946	*
74	430.27777	288.0	*	411.0	321.3	*
75	432.5	288.5	*	412.45	321.6	*
76	434.5	289.5	*	413.75	322.25	*
77	436.25	289.75	*	415.5	322.5	*
78	438.4	290.45	*	416.75	322.75	*
79	440.28946	291.1316	*	418.3421	323.3421	*
80	442.1316	291.71054	*	419.71054	323.5	*
81	444.0	292.5	*	421.25	323.75	*
82	445.8684	293.28946	*	422.75	324.25	*
83	447.8684	293.71054	*	424.4091	324.5909	*
84	449.5	294.5	*	425.71054	324.8684	*
85	451.55	295.4	*	427.1316	325.28946	*
86	453.45	295.6	*	428.5	325.5	*
87	455.2	296.4	*	430.0	325.72223	*
88	457.1316	297.28946	*	431.4	326.45	*
